"benchmark","group","threads","time","timeout"
"(hd-d5 20)","hd-d5","2",3600.000,True
"(array-search 2)","arraysearch","2",6.880,False
"(array-search 3)","arraysearch","2",6.929,False
"(array-search 4)","arraysearch","2",11.858,False
"(array-search 5)","arraysearch","2",13.538,False
"(array-search 6)","arraysearch","2",17.801,False
"(array-search 7)","arraysearch","2",18.269,False
"(array-search 8)","arraysearch","2",66.237,False
"(array-search 9)","arraysearch","2",203.937,False
"(array-search 10)","arraysearch","2",132.852,False
"(array-search 11)","arraysearch","2",257.375,False
"(array-search 12)","arraysearch","2",209.362,False
"(array-search 13)","arraysearch","2",235.005,False
"(array-search 14)","arraysearch","2",164.453,False
"(array-search 15)","arraysearch","2",534.678,False
"(qm qm_choose_01)","qm","2",4.954,False
"(qm qm_choose_yz)","qm","2",189.127,False
"(qm qm_loop_1)","qm","2",5.106,False
"(qm qm_loop_2)","qm","2",7.541,False
"(qm qm_loop_3)","qm","2",7.488,False
"(qm qm_max2)","qm","2",163.837,False
"(qm qm_max3)","qm","2",3600.000,True
"(qm qm_neg_1)","qm","2",4.596,False
"(qm qm_neg_2)","qm","2",4.901,False
"(qm qm_neg_3)","qm","2",5.609,False
"(qm qm_neg_4)","qm","2",76.103,False
"(qm qm_neg_eq_1)","qm","2",4.948,False
"(qm qm_neg_eq_2)","qm","2",54.677,False
"(fft-sin)","parrot","2",6.822,False
"(fft-cos)","parrot","2",6.572,False
"(inversek2j-theta1)","parrot","2",26.152,False
"(inversek2j-theta2)","parrot","2",14.464,False
"(sobel-x)","parrot","2",4086.758,False
"(sobel-y)","parrot","2",3939.052,False
"(kmeans)","parrot","2",6882.044,False
"(hd-d0 1)","hd-d0","4",4.843,False
"(hd-d0 2)","hd-d0","4",4.243,False
"(hd-d0 3)","hd-d0","4",4.136,False
"(hd-d0 4)","hd-d0","4",4.584,False
"(hd-d0 5)","hd-d0","4",4.147,False
"(hd-d0 6)","hd-d0","4",4.997,False
"(hd-d0 7)","hd-d0","4",4.750,False
"(hd-d0 8)","hd-d0","4",6.803,False
"(hd-d0 9)","hd-d0","4",4.647,False
"(hd-d0 10)","hd-d0","4",5.397,False
"(hd-d0 11)","hd-d0","4",4.645,False
"(hd-d0 12)","hd-d0","4",4.639,False
"(hd-d0 13)","hd-d0","4",8.371,False
"(hd-d0 14)","hd-d0","4",7.633,False
"(hd-d0 15)","hd-d0","4",10.135,False
"(hd-d0 16)","hd-d0","4",7.647,False
"(hd-d0 17)","hd-d0","4",6.048,False
"(hd-d0 18)","hd-d0","4",7.645,False
"(hd-d0 19)","hd-d0","4",17.898,False
"(hd-d0 20)","hd-d0","4",3600.000,True
"(hd-d5 1)","hd-d5","4",8.110,False
"(hd-d5 2)","hd-d5","4",6.298,False
"(hd-d5 3)","hd-d5","4",7.152,False
"(hd-d5 4)","hd-d5","4",7.599,False
"(hd-d5 5)","hd-d5","4",5.839,False
"(hd-d5 6)","hd-d5","4",6.101,False
"(hd-d5 7)","hd-d5","4",6.498,False
"(hd-d5 8)","hd-d5","4",8.009,False
"(hd-d5 9)","hd-d5","4",6.769,False
"(hd-d5 10)","hd-d5","4",8.493,False
"(hd-d5 11)","hd-d5","4",11.368,False
"(hd-d5 12)","hd-d5","4",8.234,False
"(hd-d5 13)","hd-d5","4",19.436,False
"(hd-d5 14)","hd-d5","4",358.245,False
"(hd-d5 15)","hd-d5","4",545.302,False
"(hd-d5 16)","hd-d5","4",21.848,False
"(hd-d5 17)","hd-d5","4",13.375,False
"(hd-d5 18)","hd-d5","4",8.608,False
"(hd-d5 19)","hd-d5","4",3600.000,True
"(hd-d5 20)","hd-d5","4",3600.000,True
"(array-search 2)","arraysearch","4",6.553,False
"(array-search 3)","arraysearch","4",6.503,False
"(array-search 4)","arraysearch","4",8.717,False
"(array-search 5)","arraysearch","4",10.588,False
"(array-search 6)","arraysearch","4",13.292,False
"(array-search 7)","arraysearch","4",14.219,False
"(array-search 8)","arraysearch","4",57.369,False
"(array-search 9)","arraysearch","4",173.024,False
"(array-search 10)","arraysearch","4",144.220,False
"(array-search 11)","arraysearch","4",223.768,False
"(array-search 12)","arraysearch","4",165.055,False
"(array-search 13)","arraysearch","4",238.842,False
"(array-search 14)","arraysearch","4",132.748,False
"(array-search 15)","arraysearch","4",467.422,False
"(qm qm_choose_01)","qm","4",4.002,False
